Array Size (B), Bandwidth Mean (GB/s), Bandwidth Variance (GB/s)
4, 0.000378584, 1.46288e-10
8, 0.000749717, 2.597e-10
16, 0.00150502, 1.60537e-09
32, 0.00299262, 3.85224e-09
64, 0.00599219, 2.03051e-08
128, 0.0119297, 6.00209e-08
256, 0.0238232, 2.29048e-07
512, 0.0479965, 1.8487e-06
1024, 0.0923199, 1.61142e-06
2048, 0.181041, 4.20991e-05
4096, 0.33143, 7.71176e-05
8192, 0.593882, 0.000373898
16384, 0.985532, 0.00124581
32768, 1.43029, 0.00393048
65536, 0.243899, 0.415102
131072, 0.358482, 0.895778
262144, 0.00137537, 1.42407e-07
524288, 0.00273195, 5.61627e-07
1.04858e+06, 0.00547612, 2.25475e-06
2.09715e+06, 0.0108915, 8.9163e-06
4.1943e+06, 0.021752, 3.54833e-05
8.38861e+06, 0.0438692, 0.000146254
1.67772e+07, 0.084174, 0.000520344
3.35544e+07, 0.166348, 0.00200879
6.71089e+07, 0.304438, 0.00642814
1.34218e+08, 0.548445, 0.0193097
2.68435e+08, 0.914981, 0.0487438
5.36871e+08, 1.34646, 0.0809176
